SMILES,pKa,name,domain
CCCCC(=O)O,4.77,3-Methylbutanoic acid,in-domain
CC(C)(C)C(=O)O,4.84,Pentanoic acid,in-domain
NCCCCC(=O)O,5.03,Pivalic acid  ,in-domain
C[N+](C)(C)CC(=O)[O-],4.27,5-Aminopentanoic acid,in-domain
CCCC(N)C(=O)O,1.83,Betaine,in-domain
CCCNCC(=O)O,2.32,Norvaline,in-domain
CC(C)C(N)C(=O)O,2.35,N-Propylglycine,in-domain
CSCCC(N)C(=O)O,2.29,Valine,in-domain
NCCCC(N)C(=O)O,2.13,Methionine,in-domain
O=C(O)C1CCCN1,1.705,Ornithine,in-domain
NCC(=O)CCC(=O)O,1.952,Proline,in-domain
O=C(O)C1CCCC1,4.05,5-Aminolevulinic acid,in-domain
CCC(C)C(=O)C(=O)O,,,in-domain
NCC(=O)NC(CC(N)=O)C(=O)O,4.99,Cyclopentanecarboxylic acid ,in-domain
NCC(=O)NCC(=O)NCC(=O)O,2.3,2-Oxo-3-methylpentanoic acid,in-domain
O=C(O)C1CCCCN1,2.9419999999999997,Glycylasparagine,in-domain
CC(C)CCC(=O)O,3.225,N-(N-Glycylglycyl)glycine,in-domain
CCCCCC(=O)O,2.28,l-Pipecolic acid,in-domain
NC(=O)NCCCC(N)C(=O)O,4.84,4-Methylpentanoic acid,in-domain
NCCCCCC(=O)O,4.85,Hexanoic acid,in-domain
CCC(C)C(N)C(=O)O,2.43,Citrulline,in-domain
CC(C)CC(N)C(=O)O,4.373,6-Aminohexanoic acid,in-domain
CCCCC(N)C(=O)O,2.32,Isoleucine,in-domain
NCCCCC(N)C(=O)O,2.3280000000000003,L-Leucine,in-domain
N=C(N)NCCCC(N)C(=O)O,2.335,Norleucine,in-domain
NCC(O)CCC(N)C(=O)O,2.16,Lysine,in-domain
O=C(O)c1ccccc1,1.82,Arginine,in-domain
O=C(O)c1cccnc1,2.13,5-Hydroxylysine,in-domain
O=C(O)c1ccncc1,4.2,benzoic acid,in-domain
O=C(O)c1ccccn1,4.85,3-Pyridinecarboxylic acid,in-domain
O=C(O)c1cccnc1,4.96,4-Pyridinecarboxylic acid,in-domain
NC(Cc1c[nH]cn1)C(=O)O,1.07,Picolinic acid,in-domain
Cn1cnc(CC(N)C(=O)O)c1,2.0,nicotinic acid,in-domain
Cn1cncc1CC(N)C(=O)O,1.8,Histidine,in-domain
O=C(O)C1CCCCC1,1.69,l-1-Methylhistidine,in-domain
CCCCCCC(=O)O,1.92,l-3-Methylhistidine,in-domain
C[N+](C)(C)CC(O)CC(=O)[O-],4.9,Cyclohexanecarboxylic acid,in-domain
O=C(O)c1ccccc1Br,4.89,Heptanoic acid,in-domain
O=C(O)c1cccc(Br)c1,3.8,Carnitine,in-domain
O=C(O)c1ccc(Br)cc1,2.84,2-Bromobenzoic acid,in-domain
O=C(O)c1ccccc1Cl,3.86,3-Bromobenzoic acid,in-domain
O=C(O)c1cccc(Cl)c1,3.97,4-Bromobenzoic acid,in-domain
O=C(O)c1ccc(Cl)cc1,2.92,2-Chlorobenzoic acid,in-domain
O=C(O)c1ccccc1I,3.82,3-Chlorobenzoic acid,in-domain
O=C(O)c1cccc(I)c1,3.98,4-Chlorobenzoic acid,in-domain
O=C(O)c1ccc(I)cc1,2.85,2-Iodobenzoic acid,in-domain
O=C(O)c1ccccc1[N+](=O)[O-],3.8,3-Iodobenzoic acid,in-domain
O=C(O)c1cccc([N+](=O)[O-])c1,4.0,4-Iodobenzoic acid,in-domain
O=C(O)c1ccc([N+](=O)[O-])cc1,2.16,2-Nitrobenzoic acid,in-domain
O=C(O)c1ccccc1,3.47,3-Nitrobenzoic acid,in-domain
O=C(O)c1ccccc1O,3.41,4-Nitrobenzoic acid,in-domain
O=C(O)c1cccc(O)c1,4.19,Benzoic acid,in-domain
O=C(O)c1ccc(O)cc1,2.97,o-Hydroxybenzoic acid,in-domain
CC(=O)Oc1ccccc1C(=O)O,4.06,m-Hydroxybenzoic acid,in-domain
O=C(O)c1cc(O)ccc1O,4.48,p-Hydroxybenzoic acid,in-domain
O=C(O)c1ccc(O)c(O)c1,3.5,acetylsalicylic acid,in-domain
O=C(O)c1cc(O)cc(O)c1,2.97,"2,5-Dihydroxybenzoic acid",in-domain
O=C(O)c1c(O)cc(O)cc1O,4.48,"3,4-Dihydroxybenzoic acid",in-domain
O=C(O)c1cc(O)c(O)c(O)c1,4.04,"3,5-Dihydroxybenzoic acid",in-domain
Nc1ccccc1C(=O)O,1.68,"2,4,6-Trihydroxybenzoic acid",in-domain
Nc1cccc(C(=O)O)c1,4.41,Gallic acid,in-domain
Nc1ccc(C(=O)O)cc1,2.108,2-Aminobenzoic acid,in-domain
CC(C)CC(NC(=O)CN)C(=O)O,4.78,3-Aminobenzoic acid,in-domain
CC(C)CC(N)C(=O)NCC(=O)O,2.501,4-Animobenzoic acid,in-domain
NC(CCSSCCC(N)C(=O)O)C(=O)O,3.18,N-Glycylleucine,in-domain
O=C(O)Cc1ccccc1Cl,3.25,N-Leucylglycine,in-domain
O=C(O)Cc1cccc(Cl)c1,1.59,Homocystine,in-domain
O=C(O)Cc1ccc(Cl)cc1,4.07,2-Chlorophenylacetic acid,in-domain
O=C(O)COc1ccccc1Cl,4.14,3-Chlorophenylacetic acid,in-domain
O=C(O)COc1cccc(Cl)c1,4.19,4-Chlorophenylacetic acid,in-domain
O=C(O)COc1ccc(Cl)cc1,3.05,2-Chlorophenoxyacetic acid,in-domain
O=C(O)Cc1ccccc1[N+](=O)[O-],3.1,3-Chlorophenoxyacetic acid,in-domain
O=C(O)Cc1cccc([N+](=O)[O-])c1,3.56,4-Chlorophenoxyacetic acid,in-domain
O=C(O)Cc1ccc([N+](=O)[O-])cc1,4.0,2-Nitrophenylacetic acid,in-domain
Cc1cccc(C(=O)O)c1,3.97,3-Nitrophenylacetic acid,in-domain
Cc1ccccc1C(=O)O,3.85,4-Nitrophenylacetic acid,in-domain
O=C(O)Cc1ccccc1,4.27,m-Toluic acid,in-domain
Cc1ccc(C(=O)O)cc1,3.91,o-Toluic acid,in-domain
O=C(O)C(O)c1ccccc1,4.28,Phenylacetic acid,in-domain
O=C(O)Cc1cc(O)ccc1O,4.36,p-Toluic acid,in-domain
CNc1ccccc1C(=O)O,3.85,DL-Mandelic acid,in-domain
CNc1cccc(C(=O)O)c1,4.4,Homogentisic acid,in-domain
CNc1ccc(C(=O)O)cc1,5.34,2-(Methylamino)benzoic acid,in-domain
NC(C(=O)O)c1ccccc1,5.1,3-(Methylamino)benzoic acid,in-domain
NC(Cc1ccc(O)c(I)c1)C(=O)O,5.04,4-(Methylamino)benzoic acid,in-domain
CC(C(=O)O)c1ccccc1,1.83,Phenylglycine,in-domain
O=C(O)CCc1ccccc1,2.2,3-Iodotyrosine,in-domain
NC(Cc1ccccc1)C(=O)O,4.64,a-Phenylpropanoic acid,in-domain
NC(Cc1ccc(O)cc1)C(=O)O,4.37,b-Phenylpropanoic acid,in-domain
NC(Cc1ccc(O)c(O)c1)C(=O)O,2.2,Phenylalanine,in-domain
NCCC(=O)NC(Cc1c[nH]cn1)C(=O)O,2.2,Tyrosine,in-domain
CCCCCCCCC(=O)O,2.32,"L-3,4-Dihydroxyphenylalanine",in-domain
O=C(O)C=Cc1cccc(Cl)c1,2.73,N-b-Alanylhistidine,in-domain
O=C(O)C=Cc1ccccc1Cl,4.96,Nonanic acid,in-domain
O=C(O)C=Cc1ccc(Cl)cc1,4.29,m-Chlorocinnamic acid,in-domain
N#Cc1cccc(OCC(=O)O)c1,4.23,o-Chlorocinnamic acid,in-domain
N#Cc1ccccc1OCC(=O)O,4.41,p-Chlorocinnamic acid,in-domain
N#Cc1ccc(OCC(=O)O)cc1,3.03,m-Cyanophenoxyacetic acid,in-domain
O=C(O)C=Cc1ccccc1,2.98,o-Cyanophenoxyacetic acid,in-domain
O=C(O)C=Cc1ccccc1,2.93,p-Cyanophenoxyacetic acid,in-domain
O=C(O)CCc1ccccc1Cl,3.89,cis-Cinnamic acid,in-domain
O=C(O)CCc1cccc(Cl)c1,4.44,trans-Cinnamic acid,in-domain
O=C(O)CCc1ccc(Cl)cc1,4.58,3-(2-Chlorophenyl)propanoic acid,in-domain
NC(Cc1cc(I)c(O)c(I)c1)C(=O)O,4.59,3-(3-Chlorophenyl)propanoic acid,in-domain
O=C(O)CNC(=O)c1ccccc1,4.61,3-(4-Chlorophenyl)propanoic acid,in-domain
O=C(O)CCc1ccccc1[N+](=O)[O-],2.12,"3,5-Diiodityrosine",in-domain
O=C(O)CCc1ccc([N+](=O)[O-])cc1,3.62,Hippuric acid,in-domain
O=C(O)C(Cl)(Cl)Cl,4.5,3-(2-Nitrophenyl)propanoic acid,in-domain
O=C(O)C(F)(F)F,4.47,3-(4-Nitrophenyl)propanoic acid,in-domain
O=C(O)CBr,0.65,Trichloroacetic acid,in-domain
O=C(O)CCl,0.52,Trifluoroacetic acid,in-domain
O=C(O)CF,2.9,Bromoacetic acid,in-domain
O=C(O)CI,2.86,Chloroacetic acid,in-domain
CC(=O)O,2.66,Fluoroacetic acid,in-domain
O=C(O)C(Cl)Cl,3.17,Iodoacetic acid,in-domain
O=CO,4.76,acetic acid,in-domain
NCCC(=O)NC(Cc1c[nH]cn1)C(=O)O,1.29,Dichloroacetic acid,in-domain
NCC(=O)NCC(=O)O,3.75,formic acid,in-domain
O=C(O)CCCCC1CCSS1,3.37,carnosine,in-domain
O=C(O)CCCCC(S)CCS,3.13,Glycylglycine,in-domain
O=C(O)Cc1c[nH]c2ccccc12,5.1,Thioctic acid,in-domain
O=C(Cc1c[nH]c2ccccc12)C(O)O,4.91,Dihydrolipoic Acid,in-domain
CC(=O)C(=O)Oc1c[nH]c2ccccc12,4.68,Indole-3-acetic acid,in-domain
[O-][I+2]([O-])O,0.8,Iodic ,out-of-domain
[O-][S+](O)O,1.81,Sulfurous ,out-of-domain
[O-][Cl+]O,1.96,Chlorous ,out-of-domain
O=P(O)(O)O,2.12,Phosphoric ,out-of-domain
[O-][As+](O)(O)O,2.3,Arsenic ,out-of-domain
F,3.14,Hydrofluoric ,out-of-domain
O=NO,3.39,Nitrous ,out-of-domain
NNN,4.72,Hydrazoic ,out-of-domain
O=C(O)O,6.37,Carbonic ,out-of-domain
S,7.04,Hydrosulfuric ,out-of-domain
OCl,7.53,Hypochlorous ,out-of-domain
OBr,8.7,Hypobromous ,out-of-domain
CN,9.21,Hydrocyanic ,out-of-domain
Oc1ccccc1,9.8,Phenol ,out-of-domain
O[IH],10.7,Hypoiodous ,out-of-domain
O=S(=O)(O)C(F)(F)F,,Trifluoromethanesulfonic acid (TfOH),out-of-domain
Cc1ccc(S(=O)(=O)O)cc1,,p-Toluenesulfonic acid (pTsOH),out-of-domain
NCCS(=O)(=O)O,,2-aminoethanesulfonic acid(Taurine) ,out-of-domain
O=S(=O)(O)F,,Fluorosulfuric acid ,out-of-domain
I,,Hydroiodic ,out-of-domain
Br,,Hydrobromic,out-of-domain
[O-][Cl+3]([O-])([O-])O,,Perchloric ,out-of-domain
Cl,,Hydrochloric ,out-of-domain
[O-][Cl+2]([O-])O,,Chloric,out-of-domain
O=S(=O)(O)O,,Sulfuric ,out-of-domain
O=[N+]([O-])O,,Nitric ,out-of-domain
OB(O)O,9.0,Boric acid,out-of-domain
CB(O)O,10.4,Methyl,out-of-domain
OB(O)c1ccccc1,8.9,Phenyl,out-of-domain
OB(O)c1cc(Cl)cc(Cl)c1,7.4,"3,5-Dichlorophenyl",out-of-domain
OB(O)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,7.2,"3,5-Bis(trifluoromethyl)phenyl",out-of-domain
COc1ccccc1B(O)O,9.0,2-Methoxyphenyl,out-of-domain
COc1cccc(B(O)O)c1,8.7,3-Methoxyphenyl,out-of-domain
COc1ccc(B(O)O)cc1,9.3,4-Methoxyphenyl,out-of-domain
O=C(O)c1ccc(B(O)O)cc1,8.4,4-Carboxyphenyl,out-of-domain
O=[N+]([O-])c1ccccc1B(O)O,9.2,2-Nitrophenyl,out-of-domain
O=[N+]([O-])c1ccc(B(O)O)cc1,7.1,4-Nitrophenyl,out-of-domain
OB(O)c1ccc(Br)cc1,8.6,4-Bromophenyl,out-of-domain
OB(O)c1ccc(F)cc1,9.1,4-Fluorophenyl,out-of-domain
Cc1ccccc1B(O)O,9.7,2-Methylphenyl,out-of-domain
Cc1cccc(B(O)O)c1,9.0,3-Methylphenyl,out-of-domain
Cc1ccc(B(O)O)cc1,9.3,4-Methylphenyl,out-of-domain
Cc1cc(C)cc(B(O)O)c1,9.1,"3,5-Dimethylphenyl",out-of-domain
COC(=O)c1cc(B(O)O)cc([N+](=O)[O-])c1,6.9,3-Methoxycarbonyl-5-nitrophenyl,out-of-domain
O=[N+]([O-])c1ccc(F)c(B(O)O)c1,6.0,2-Fluoro-5-nitrophenyl,out-of-domain
OB(O)c1cccnc1,4.0,3-Pyridyl,out-of-domain
OB(O)c1cccc2cccnc12,4.0,8-Quinolinyl,out-of-domain
C=C=COc1ccc2cc(S(=O)(=O)O)ccc2c1,,,out-of-domain
C[Si](C)(C)CCS(=O)(=O)[O-].[Na+],,,out-of-domain
CCC/C=C1/C=C(C)C=CC1S(=O)(=O)O,,,out-of-domain
CC1=CC(C)(C)NC(=S)N1c1cccc(S(=O)(=O)O)c1,,,out-of-domain
O=S(=O)([O-])c1c(O)ccc2ccccc12.[K+],,,out-of-domain
CCc1cccc(SC(C)c2cccc(S(=O)(=O)O)n2)n1,,,out-of-domain
CCC([N+]1(C)CCCC1)S(=O)(=O)O,,,out-of-domain
Cc1cc(S(=O)(=O)O)c(N)cc1S,,,out-of-domain
O=S(=O)(O)Cc1[nH]nc2ncnc(C3CCOCC3)c12,,,out-of-domain
CCCCc1cccc(C(CCCC)(CCCC)S(=O)(=O)O)c1CCCC,,,out-of-domain
O=S(=O)([O-])C12CC3CC(CC(C3)C1)C2.[Li+],,,out-of-domain
CCCCCCCCCCCCC(CS(=O)(=O)O)OCCCC,,,out-of-domain
CC(Br)Cc1cccc(S(=O)(=O)O)c1,,,out-of-domain
CC(C)C[C@@H](CN)CS(=O)(=O)O,,,out-of-domain
COC(CN(CCc1ccccc1)c1ccccc1S(=O)(=O)O)OC,,,out-of-domain
C=COC(=O)c1ccc(S(=O)(=O)O)cc1,,,out-of-domain
CCCCNCCCCS(=O)(=O)O,,,out-of-domain
CC1C(O)C2CCC(NC3CCCCC3)CC2CC1S(=O)(=O)O,,,out-of-domain
CC(C)(CC1CC2CC1[C@H]1C3CCC(C3)C21)S(=O)(=O)O,,,out-of-domain
CCC(C)c1cc[n+](CS(=O)(=O)O)cc1,,,out-of-domain
CCC(C)(C)C(=O)OCCCC(F)(F)S(=O)(=O)O,,,out-of-domain
C/C=C/CCCCS(=O)(=O)O,,,out-of-domain
CCOc1ccccc1OCCCS(=O)(=O)O,,,out-of-domain
O=[N+]([O-])c1cc(S(=O)(=O)O)c2nc(Cl)c(Cl)nc2c1,,,out-of-domain
CCC1CN(S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)S(=O)(=O)O)CCC1C,,,out-of-domain
CCCCCNc1ccc2ccccc2c1S(=O)(=O)O,,,out-of-domain
C/C=C1/C(=O)C2CCC1(S(=O)(=O)O)C2(C)C,,,out-of-domain
O=Cc1ccc(OCCCS(=O)(=O)O)cc1,,,out-of-domain
COc1ccc(CS(=O)(=O)O)cc1O,,,out-of-domain
COCC(=O)C(F)(F)S(=O)(=O)O,,,out-of-domain
Cc1ccc(OCCCCCCS(=O)(=O)O)c(F)c1,,,out-of-domain
CC(C)(c1ccccc1)c1cccc(S(=O)(=O)O)c1,,,out-of-domain
O=S(=O)(O)C1CCCC1Cl,,,out-of-domain
Cl.O=S(=O)(O)C1CCCNC1,,,out-of-domain
C=C(CC)C(=O)OCCS(=O)(=O)[O-].[Na+],,,out-of-domain
COc1nc(Cl)nc(Nc2ccc(S(=O)(=O)O)c(C)c2)n1,,,out-of-domain
O=S(=O)(O)C(F)(F)F.[Be],,,out-of-domain
CCCOc1ccc(OCCCS(=O)(=O)O)c(N)c1,,,out-of-domain
CCCc1c[nH]c2ccc(CS(=O)(=O)O)cc12,,,out-of-domain
CCCCC(CC)COCCCCCCCCCCCCS(=O)(=O)O,,,out-of-domain
C=C[C@H](C)NC(C)(C)CS(=O)(=O)O,,,out-of-domain
C=C(C)C(=O)OCC[N+](C)(C)CS(=O)(=O)O,,,out-of-domain
CCCN(c1cncs1)c1cccc2cc(S(=O)(=O)O)ccc12,,,out-of-domain
CC1(C)[C@@H](CCOS(C)(=O)=O)C[C@H]1COCc1ccccc1.CS(=O)(=O)O,,,out-of-domain
O=S(=O)(O)CCN1C=CCC=C1,,,out-of-domain
CC1(C)CC(Cc2ccc(S(=O)(=O)O)cc2)CC(C)(C)N1OC1CC=CCC1,,,out-of-domain
CCCCCCCCC(=O)N(CCCCCl)c1ccc2cc(S(=O)(=O)O)cc(O)c2c1,,,out-of-domain
O=S(=O)(O)c1ccc(-c2ccno2)s1,,,out-of-domain
CC(C=O)S(=O)(=O)O,,,out-of-domain
CCCCCCCCCCCCCCC1C=CCCC1CCCS(=O)(=O)O,,,out-of-domain
Cc1nc(CB(O)O)cs1,,,out-of-domain
O=C(NC1CCC1)c1ccc(B(O)O)cc1,,,out-of-domain
OB(O)CCOC[C@@H]1OC(O)[C@@H](O)[C@H](O)[C@@H]1O,,,out-of-domain
CCCCOc1ccc(B(O)O)cc1,,,out-of-domain
OB(O)c1ccccc1N(c1ccccc1)c1cccc2ccccc12,,,out-of-domain
O=C(CC(=O)c1ccc(B(O)O)cc1)c1ccc(B(O)O)cc1,,,out-of-domain
CCCCCCCc1ccc(B(O)O)s1,,,out-of-domain
O=C(CC1CCC(NCCO)CC1)NC1Cc2cccc(C(=O)O)c2OB1O,,,out-of-domain
CCC1=C2B(O)O[C@H](c3ccc(O)cc3Cl)C[C@H]2[C@H]2C(=O)N(c3cccc(B(O)O)c3)C(=O)[C@H]2C1,,,out-of-domain
CC(C)(C)[Si](C)(C)OCCn1cc(B(O)O)cn1,,,out-of-domain
OB(O)C1Cc2ccccc2C1,,,out-of-domain
COC=c1ccc(B(O)O)cc1=COC,,,out-of-domain
CC1CC=Cc2c1ccc1c2c2cc(-c3ccc(B(O)O)cc3)ccc2n1-c1ccccc1,,,out-of-domain
CC(C)(C)c1cc(B(O)O)cc(-c2ccoc2)c1,,,out-of-domain
OB1OCc2c(Cl)cccc21,,,out-of-domain
COc1ccc(B(O)O)c(CSc2ccccc2)c1,,,out-of-domain
[N-]=[N+]=NC(=O)Cc1ccc(B(O)O)cc1,,,out-of-domain
CC(N)C(=O)N1CC(=O)CC1B(O)O,,,out-of-domain
OB(O)c1ccc2nc(Oc3ccc(Cl)cc3)ccc2c1,,,out-of-domain
O=c1[nH]ccc2cc(-c3cc(B(O)O)cc(C(F)(F)F)c3)ccc12,,,out-of-domain
C=CB(O)O[C@]1(CO)CC[C@@H]2C[C@@H]1C2(C)C,,,out-of-domain
Cc1ccc(C(=O)NCc2ccc(B(O)O)cc2)c(F)c1,,,out-of-domain
OB(O)CCCCCn1cnc2c(Cl)c(Cl)c(Cl)cc21,,,out-of-domain
CC(C)(C)OC(=O)C1CNCCN1S(=O)(=O)c1ccc(B(O)O)cc1,,,out-of-domain
CCC(c1ccccc1)c1ccc2oc(B(O)O)cc2c1,,,out-of-domain
N/C(C(=O)Nc1ccc2c(c1)B(O)OC2)=C(/NC1CC1)C(F)(F)F,,,out-of-domain
CCC1=C2[C@@H](CC/C(=C\c3cc(C)c(O)c(C)c3)CC)OB(O)C[C@@H]2[C@@H]2C(=O)N(C(=O)OC)C(=O)[C@@H]2C1,,,out-of-domain
Cc1ccc2c(c1)C[C@H](B(O)O)CC2,,,out-of-domain
OB1OC=C1c1ccccc1,,,out-of-domain
NCC1CCCC(C(CCCCC2CCC(B(O)O)CC2O)CCNC=O)C1,,,out-of-domain
OB(O)c1nc(C(F)(F)F)nc2ccccc12,,,out-of-domain
CC(C)(NC(=O)c1ccc(Cl)cc1)C(=O)N[C@@H](CC1C=CC(Cl)=CC1)B(O)O,,,out-of-domain
OB(O)c1ccc(CCOC2CCCCO2)cc1,,,out-of-domain
CC(N)(CCCCB(O)O)C(=O)O,,,out-of-domain
[OH2+]B1OCc2ccc(Cc3ccc(I)cc3)cc21,,,out-of-domain
O=S(=O)(c1ccccc1B(O)O)n1ccnc1,,,out-of-domain
CNCCc1ccc2cc(B(O)O)cnc2c1,,,out-of-domain
C[n+]1ccc(B(O)O)cc1,,,out-of-domain
Cc1cccc(OCc2ccc(F)c(B(O)O)c2)c1,,,out-of-domain
NCc1cccc(C2CCN(C(=O)c3cccc(B(O)O)c3)CC2)c1,,,out-of-domain
C=C(COC)C1=CCB(O)OC1CC/C(=C/c1ccc(O)cc1)c1ccccc1,,,out-of-domain
Cl.Cl.Cl.N[C@@]1(C(=O)O)CN(CC2Cc3cc(Cl)ccc3CN2)C[C@@H]1CCCB(O)O,,,out-of-domain
O=COCCc1cc(B(O)O)ccc1F,,,out-of-domain
CCCCCCc1nnc(-c2ccc(B(O)O)c(C)c2)o1,,,out-of-domain
CCCCN[C@@H](c1ccc(B(O)O)cc1)P(=O)(OCC)OCC.O,,,out-of-domain
CCc1ccc(CC)c(B(O)O)c1,,,out-of-domain
OB(O)c1ccc(OCCSc2ncco2)cc1,,,out-of-domain
CC(N)c1ccc2c(c1)B(O)OC2(C)C,,,out-of-domain
OB(O)c1ccccc1OCc1ccccc1F,,,out-of-domain
C=C(CC)C1=CCB(O)OC1CC/C(=C/c1ccccc1O)CC,,,out-of-domain
OB(O)c1cnc(F)nc1F,,,out-of-domain
